,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,RL,5.968980585391403,20.329199132676486,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,11.849446822580239,Unf,0.0,7.247551425168361,12.236142518909933,GasA,Ex,Y,SBrkr,12.236142518909933,0.0,0.0,12.236142518909933,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,YearGroup5,Unf,1,9.616086912297321,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,2,2008,WD,Normal,11.771443882099637
11,12,60,RL,6.337529394588084,20.5840230706303,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,8.914178988939392,Ex,TA,PConc,Ex,TA,No,GLQ,12.119733293613173,Unf,0.0,7.836797333082112,12.585066747225241,GasA,Ex,Y,SBrkr,12.602212469658957,12.50304918615027,0.0,14.657505709325996,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,YearGroup7,Fin,3,11.281862458951347,TA,TA,Y,7.440766394665014,3.9325102940665544,0.0,0.0,0.0,0.0,None,None,None,0.0,7,2006,New,Partial,12.75130259456002
12,13,20,RL,6.159768979367088,20.929242989762106,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,11.285513379074875,Unf,0.0,7.812235750158614,11.867768587390184,GasA,TA,Y,SBrkr,11.867768587390184,0.0,0.0,11.867768587390184,1,0,1,0,2,1,TA,4,Typ,0,None,Detchd,YearGroup5,Unf,1,9.405519221765948,TA,TA,Y,7.338607270038526,0.0,0.0,0.0,7.824546029563345,0.0,None,None,None,0.0,9,2008,WD,Normal,11.87757552297847
13,14,20,RL,6.469749997220178,20.12683835285793,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,9.072418929401417,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,13.290777357050557,13.290777357050557,GasA,Ex,Y,SBrkr,13.290777357050557,0.0,0.0,13.290777357050557,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,YearGroup7,RFn,3,11.640795289083194,TA,TA,Y,7.620056264664793,4.6477085871174175,0.0,0.0,0.0,0.0,None,None,None,0.0,8,2007,New,Partial,12.540761149388421
14,15,20,RL,6.159768979367088,20.226881370386884,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,8.232627042257835,TA,TA,CBlock,TA,TA,No,BLQ,11.27088437740026,Unf,0.0,10.371952633774399,12.77141361211901,GasA,TA,Y,SBrkr,12.77141361211901,0.0,0.0,12.77141361211901,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,YearGroup5,RFn,1,9.405519221765948,TA,TA,Y,0.0,8.243098627365718,7.824546029563345,0.0,0.0,0.0,None,GdWo,None,0.0,5,2008,WD,Normal,11.964007453736912
15,16,45,RM,5.392276337227255,17.98987134386776,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,11.614566638515486,11.614566638515486,GasA,Ex,Y,FuseA,11.686189379390555,0.0,0.0,11.686189379390555,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,YearGroup7,Unf,2,10.634887347225343,TA,TA,Y,5.285266416806648,6.881187323763808,0.0,0.0,0.0,0.0,None,GdPrv,None,0.0,7,2007,WD,Normal,11.790564777297387
16,17,20,RL,6.159768979367088,20.343998425380768,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,7.873203454932757,TA,TA,CBlock,TA,TA,No,ALQ,10.643869732390646,Unf,0.0,9.870950045978935,12.136614936437766,GasA,Ex,Y,SBrkr,12.136614936437766,0.0,0.0,12.136614936437766,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,YearGroup5,Fin,2,10.169007130464756,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,Shed,11.147538247731708,3,2010,WD,Normal,11.91170829631447
17,18,90,RL,6.02174235239564,20.17898998870793,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,TA,Y,SBrkr,12.869967192359528,0.0,0.0,12.869967192359528,0,0,2,0,2,2,TA,6,Typ,0,None,CarPort,YearGroup5,Unf,2,10.35226609224141,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,Shed,10.272201962485878,10,2006,WD,Normal,11.407576060361786
18,19,20,RL,5.859551208605442,21.15593916413874,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,10.934618655762014,Unf,0.0,10.105326135535595,12.431864645976223,GasA,Ex,Y,SBrkr,12.431864645976223,0.0,0.0,12.431864645976223,1,0,1,1,3,1,Gd,6,Typ,0,None,Detchd,YearGroup7,Unf,2,10.634887347225343,TA,TA,Y,0.0,6.694190605394483,0.0,0.0,0.0,0.0,None,None,None,0.0,6,2008,WD,Normal,11.976665770490767
19,20,20,RL,5.968980585391403,18.783792766557852,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,10.292419534723528,Unf,0.0,10.396380943459564,12.206045858465664,GasA,TA,Y,SBrkr,12.96578155387519,0.0,0.0,12.96578155387519,0,0,1,0,3,1,TA,6,Min1,0,None,Attchd,YearGroup5,Unf,1,8.978566621047088,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,5,2009,COD,Abnorml,11.842236406331555
20,21,60,RL,6.674652276188349,21.31189299144891,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,9.590598420556384,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,12.543063139022069,12.543063139022069,GasA,Ex,Y,SBrkr,12.543063139022069,12.689051809657878,0.0,14.728374093438743,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,YearGroup7,RFn,3,11.682967978443886,TA,TA,Y,8.511219710154148,7.538897810304354,0.0,0.0,0.0,0.0,None,None,None,0.0,11,2006,New,Partial,12.692506186542177
21,22,45,RM,5.59142712460611,18.727395699660036,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,10.897673633652223,10.897673633652223,GasA,Ex,Y,FuseF,12.416413417670666,0.0,0.0,12.416413417670666,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,YearGroup3,Unf,1,8.864879392672357,TA,TA,N,0.0,0.0,8.158132683068054,0.0,0.0,0.0,None,GdPrv,None,0.0,6,2007,WD,Normal,11.845109950883979
22,23,20,RL,6.098626104970388,19.770362266043758,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,8.873157741448868,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,13.816566297617028,13.816566297617028,GasA,Ex,Y,SBrkr,13.847538317014754,0.0,0.0,13.847538317014754,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,YearGroup7,RFn,2,10.439858799435372,TA,TA,Y,7.762392291686519,7.6067103813508625,0.0,0.0,0.0,0.0,None,None,None,0.0,9,2008,WD,Normal,12.345838935721968
23,24,120,RM,5.133567292834429,16.656243952920164,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,11.640795289083194,Unf,0.0,8.103593650252291,12.236142518909933,GasA,TA,Y,SBrkr,12.290177871756853,0.0,0.0,12.290177871756853,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,YearGroup6,Unf,2,10.616842895097365,TA,TA,Y,6.65495044352145,6.844946025203906,0.0,0.0,0.0,0.0,None,None,None,0.0,6,2007,WD,Normal,11.774527900858468
24,25,20,RL,6.159768979367088,19.117502396939127,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,7.9678374640434715,ALQ,11.023122571213104,8.147315588624346,12.290177871756853,GasA,Ex,Y,SBrkr,12.290177871756853,0.0,0.0,12.290177871756853,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,YearGroup5,Unf,1,8.780688591938043,TA,TA,Y,9.752378680578557,6.448232316019433,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,5,2010,WD,Normal,11.944714374881176
25,26,20,RL,6.844946025203906,21.31631923987327,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,10.910037588615648,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,13.43208528618426,13.43208528618426,GasA,Ex,Y,SBrkr,13.496903957925936,0.0,0.0,13.496903957925936,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,YearGroup7,RFn,3,11.800080217922273,TA,TA,Y,0.0,5.559490358416789,0.0,0.0,0.0,0.0,None,None,None,0.0,7,2009,WD,Normal,12.454107814022272
26,27,20,RL,5.684506656824126,18.598237927298484,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,8.453929696886426,Rec,10.200342662007953,7.873203454932757,11.831021744455525,GasA,TA,Y,SBrkr,11.831021744455525,0.0,0.0,11.831021744455525,0,1,1,0,3,1,Gd,5,Typ,0,None,Detchd,YearGroup7,Unf,2,10.634887347225343,TA,TA,Y,8.335516734766312,4.597156711708115,0.0,0.0,0.0,0.0,None,None,None,0.0,5,2010,WD,Normal,11.811554895830454
27,28,20,RL,6.615044151314694,20.42865738002689,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,8.103593650252291,Gd,TA,PConc,Ex,TA,No,GLQ,12.689051809657878,Unf,0.0,10.200342662007953,13.68815953063993,GasA,Ex,Y,SBrkr,13.68815953063993,0.0,0.0,13.68815953063993,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,YearGroup7,RFn,3,11.410720730871269,TA,TA,Y,0.0,5.357203202420049,0.0,0.0,0.0,0.0,None,None,None,0.0,5,2010,WD,Normal,12.631343648903034
28,29,20,RL,5.2483574728065365,21.897709715168865,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,12.826768097626793,Unf,0.0,8.179633643422095,13.270696004831407,GasA,TA,Y,SBrkr,13.496903957925936,0.0,0.0,13.496903957925936,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,YearGroup5,RFn,1,9.17063676912744,TA,TA,Y,8.930417557876343,8.67610089137118,0.0,0.0,0.0,0.0,None,None,None,0.0,12,2006,WD,Normal,12.242891437918386
29,30,30,RM,5.684506656824126,18.11142301081849,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,10.371952633774399,10.371952633774399,GasA,Fa,N,SBrkr,10.371952633774399,0.0,0.0,10.371952633774399,0,0,1,0,1,1,Fa,4,Typ,0,None,Detchd,YearGroup3,Unf,1,8.511219710154148,Fa,TA,Y,5.3215405626377255,0.0,6.382450834594188,0.0,0.0,0.0,None,None,None,0.0,5,2008,WD,Normal,11.134603622683905
30,31,70,C (all),5.357203202420049,19.23509144804234,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,10.946836606797339,10.946836606797339,GasA,TA,N,SBrkr,10.946836606797339,11.023122571213104,0.0,12.91709217382567,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,YearGroup3,Unf,1,8.604063356421523,TA,Fa,N,0.0,5.494161288893169,7.77494479144778,0.0,0.0,0.0,None,MnPrv,None,0.0,7,2008,WD,Normal,10.596659732783579
31,32,20,RL,6.159768979367088,19.2551569403525,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,12.712786725393208,12.712786725393208,GasA,Gd,Y,SBrkr,12.712786725393208,0.0,0.0,12.712786725393208,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,YearGroup5,Unf,1,8.789225410028124,TA,TA,Y,0.0,5.831327892742091,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,6,2008,WD,Normal,11.914054519303125
32,33,20,RL,6.337529394588084,20.274294298805096,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,12.726948993886586,12.726948993886586,GasA,Ex,Y,SBrkr,12.726948993886586,0.0,0.0,12.726948993886586,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,YearGroup7,RFn,2,10.189934126006927,TA,TA,Y,0.0,4.492017742920502,0.0,0.0,0.0,0.0,None,None,None,0.0,1,2008,WD,Normal,12.100161978566867
33,34,20,RL,5.968980585391403,20.088960261785648,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,12.175674739199435,Unf,0.0,9.590598420556384,13.093081172958074,GasA,Gd,Y,SBrkr,13.680989389616148,0.0,0.0,13.680989389616148,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,YearGroup5,RFn,2,9.990473606737828,TA,TA,Y,0.0,4.882972919330174,0.0,0.0,0.0,0.0,None,None,None,0.0,4,2010,WD,Normal,12.016732516077072
34,35,120,RL,5.684506656824126,18.657314644491603,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,8.567309925236039,Ex,TA,PConc,Ex,TA,No,GLQ,12.530609486480795,Unf,0.0,9.764455971860276,13.422452519028221,GasA,Ex,Y,SBrkr,13.422452519028221,0.0,0.0,13.422452519028221,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,YearGroup7,Fin,2,10.543577039871613,TA,TA,Y,8.136453549445715,5.2483574728065365,0.0,0.0,0.0,0.0,None,None,None,0.0,8,2007,WD,Normal,12.533579815765737
35,36,60,RL,6.808145364123843,21.070798118999335,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,7.216434458396561,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,12.439563774010221,12.439563774010221,GasA,Ex,Y,SBrkr,12.477798029593886,12.92377212697392,0.0,14.829616442063276,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,YearGroup7,Fin,3,11.113042599688864,TA,TA,Y,6.899103929073757,4.597156711708115,0.0,0.0,0.0,0.0,None,None,None,0.0,9,2006,WD,Normal,12.6410997921206
36,37,20,RL,6.881187323763808,20.204295330992093,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,12.387900672947353,12.387900672947353,GasA,Ex,Y,SBrkr,12.387900672947353,0.0,0.0,12.387900672947353,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,YearGroup7,Unf,2,11.038947685692156,TA,TA,Y,9.666395816900367,5.80273872401839,0.0,0.0,0.0,0.0,None,None,None,0.0,6,2009,WD,Normal,11.884495917930655
37,38,20,RL,6.07328940298831,19.24969325927918,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,10.950898606258738,TA,TA,CBlock,TA,TA,No,Rec,12.677122228700302,Unf,0.0,6.314734756825907,12.872225893417898,GasA,Gd,Y,SBrkr,12.872225893417898,0.0,0.0,12.872225893417898,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,YearGroup5,Fin,2,10.262041676152034,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,10,2009,WD,Normal,11.938199736300925
